NHIAREGION,NHIADISTRICT,FACILITYNAME,FACILITYTYPE,OWNERSHIP,INSURANCE,DEPOSITDATE,APPLICATIONCATEGORY,STATUS,RECNUMBER,APPLICATIONDATE,END_DATE
BONO_EAST,NKORANZA DIST.,YEFRI HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,5/18/2020,Renewal,Approved Credential,BANKZ-0404-2020-007,5/18/2020,5/31/2022
WESTERN,ELEMBELLE,TANDAN CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/19/2020,New Application,Pending Certificate,WRELO-0210-2020-025,5/5/2020,7/1/2026
WESTERN,ELEMBELLE,MENTUKWA CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/19/2020,New Application,After Assessment,WRELO-0210-2020-026,5/6/2020,2/1/2023
WESTERN,ELEMBELLE,NGALECHIE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/19/2020,New Application,Approved Credential,WRELO-0210-2020-024,4/28/2020,11/30/2026
WESTERN,ELEMBELLE,AWIEBO-BAKASE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/19/2020,Renewal,Approved Credential,WRELO-0410-2020-020,4/28/2020,12/1/2022
WESTERN,ELEMBELLE,AKPANDUE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/19/2020,New Application,Approved Credential,WRELO-0210-2020-022,4/28/2020,11/30/2026
BONO,DORMAA DIST.MHO,ASIKASU/NSUHIA HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,5/19/2020,Renewal,Approved Credential,BADMA-0404-2020-008,5/19/2020,5/31/2022
ASHANTI,AHAFO - ANO SOUTH,ANITEMFE CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/20/2020,Renewal,Approved Credential,ARAAS-0410-2020-026,5/14/2020,6/30/2023
BONO_EAST,ATEBUBU,KUMFIA CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/20/2020,Renewal,Approved Credential,BEATB-0410-2020-001,5/20/2020,12/1/2022
GT.ACCRA,ASHAIMAN,DAR-BEM MEDICAL CENTRE,Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,5/20/2020,Renewal,Approved Credential,GAASH-0403-2020-015,5/20/2020,6/1/2024
GT.ACCRA,AYAWASO,DIXXONS PHARMACY LTD,Pharmacy,Private,Private Health Insurance Scheme (PHIS) Only,5/21/2020,New Application,Approved Credential,GAAYA-0211-2020-017,5/21/2020,2/28/2026
ASHANTI,ASOKWA SUB-METRO,KUMASI SOUTH HOSPITAL,Secondary care hospital,Public,National Health Insurance Scheme (NHIS) Only,5/21/2020,Renewal,In Assessment,ARASM-0402-2020-043,5/21/2020,11/30/2019
ASHANTI,AHAFO - ANO NORTH,TEPA DISTRICT HOSPITAL,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,5/21/2020,Renewal,Approved Credential,ARAHN-0403-2020-027,5/14/2020,5/31/2022
AHAFO,TANO NORTH HIS,ADROBAA HEALTH CENTER,Health Center,Public,National Health Insurance Scheme (NHIS) Only,5/21/2020,Renewal,Approved Credential,AHTAN-0404-2020-009,5/21/2020,5/31/2022
EASTERN,BIRIM NORTH DMHIS,ABODOM CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/21/2020,New Application,Payment Submitted - Pending Verification,ERBRN-0210-2020-009,5/21/2020,
WESTERN,WASSA-WEST,PENTECOST HOSPITAL-TARKWA,Primary Care Hospital,Mission,National Health Insurance Scheme (NHIS) Only,5/21/2020,Upgrade,Approved Credential,WRWSW-0503-2020-050,5/18/2020,12/1/2023
UP_EAST,BAWKU MUNICIPAL MHIS,BINDURI HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,5/22/2020,Renewal,Approved Credential,UEBKE-0404-2020-008,5/6/2020,6/1/2022
UP_EAST,BAWKU MUNICIPAL MHIS,NAFKOLGA CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/22/2020,Renewal,Approved Credential,UEBKE-0410-2020-013,5/8/2020,1/1/2023
EASTERN,OKWAHUMAN HIS SOUTH,TOPMED DIAGNOSTICS LIMITED,Diagnostic,Private,National Health Insurance Scheme (NHIS) Only,5/22/2020,Renewal,Approved Credential,EROKS-0409-2020-010,5/22/2020,12/31/2022
EASTERN,ATIWA DHIS,ST. MONICA'S CLINIC AND MATERNITY HOME,Health Center,Mission,National Health Insurance Scheme (NHIS) Only,5/22/2020,Renewal,Approved Credential,ERATW-0404-2020-007,5/21/2020,12/1/2022
BONO,JAMAN SOUTH HIS,JAPEKROM CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/22/2020,New Application,In Assessment,BOJMS-0210-2020-002,5/15/2020,
UP_EAST,BAWKU MUNICIPAL MHIS,KUKPORIGU CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/22/2020,Renewal,Approved Credential,UEBKE-0310-2020-017,5/13/2020,1/1/2023
UP_EAST,BAWKU MUNICIPAL MHIS,AZUM SAPELGA CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/22/2020,Renewal,Approved Credential,UEBKE-0410-2020-009,5/6/2020,1/1/2023
UP_EAST,KASENA-NANKANA DMHIS,AZINZOKA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/23/2020,Renewal,Approved Credential,UEKSN-0410-2020-030,5/13/2020,6/30/2024
UP_EAST,KASENA-NANKANA DMHIS,NABANGO CHPS COMPOUND.,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/23/2020,Renewal,Approved Credential,UEKSN-0410-2020-021,5/13/2020,6/30/2022
UP_EAST,BAWKU WEST,DAUNGA  CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/23/2020,New Application,In Assessment,UEBKW-0210-2020-042,5/15/2020,
UP_EAST,KASENA-NANKANA DMHIS,KULIYA CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/23/2020,Renewal,Approved Credential,UEKSN-0410-2020-037,5/14/2020,6/30/2022
UP_EAST,KASENA-NANKANA DMHIS,GONUM CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/23/2020,Renewal,Approved Credential,UEKSN-0410-2020-029,5/13/2020,6/30/2024
UP_EAST,KASENA-NANKANA DMHIS,KALVIO CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/23/2020,Renewal,Approved Credential,UEKSN-0410-2020-036,5/14/2020,12/1/2022
UP_EAST,KASENA-NANKANA DMHIS,APIA GUMONGO CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/23/2020,Renewal,Approved Credential,UEKSN-0410-2020-028,5/13/2020,6/30/2024
UP_EAST,GARU,BUGPIIGU,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/24/2020,New Application,Reject Credential,UEGAR-0210-2020-041,5/15/2020,
UP_EAST,GARU,BASYONDE HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,5/24/2020,Renewal,Approved Credential,UEGAR-0404-2020-033,5/14/2020,6/1/2022
UP_EAST,GARU,BUGRI HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,5/24/2020,Renewal,Approved Credential,UEGAR-0404-2020-007,5/5/2020,5/31/2022
UP_EAST,GARU,YEOGO,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/24/2020,New Application,Reject Credential,UEGAR-0210-2020-035,5/14/2020,
UP_EAST,GARU,KONKOMADA,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/24/2020,New Application,In Assessment,UEGAR-0210-2020-027,5/13/2020,
UP_EAST,GARU,KPALSAKO,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/24/2020,New Application,Payment Submitted - Pending Verification,UEGAR-0210-2020-034,5/14/2020,
UP_EAST,GARU,BULPIELISI,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/24/2020,New Application,Payment Submitted - Pending Verification,UEGAR-0210-2020-039,5/15/2020,
UP_EAST,GARU,NINSUM,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/24/2020,New Application,In Assessment,UEGAR-0210-2020-026,5/13/2020,
UP_EAST,BOLGA MHIS,KATANGA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/25/2020,Renewal,Approved Credential,UEBGT-0410-2020-014,5/11/2020,5/31/2022
UP_EAST,BOLGA MHIS,KUMBOSCO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/25/2020,Renewal,Approved Credential,UEBGT-0410-2020-016,5/12/2020,5/31/2022
UP_EAST,BOLGA MHIS,YARIGABISI CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/25/2020,Renewal,Approved Credential,UEBGT-0410-2020-031,5/13/2020,5/31/2022
GT.ACCRA,ABLEKUMA MHIS,EL-SHADDAI MATERNITY HOME & CLINIC,Clinic,Private,Both,5/26/2020,Renewal,Approved Credential,GAABK-0415-2020-018,5/21/2020,6/1/2023
UP_EAST,PUSIGA,ZUABULGA CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/26/2020,Renewal,Approved Credential,UEPGA-0410-2020-006,4/30/2020,12/1/2022
BONO_EAST,NKORANZA DIST.,AHYIAYEM HEALTH CENTRE (B/A),CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/26/2020,Renewal,Approved Credential,BANKZ-0404-2020-009,5/20/2020,6/1/2024
UP_EAST,PUSIGA,KULTAMISE NWARE CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/26/2020,Renewal,Payment Submitted - Pending Verification,UEPGA-0410-2020-023,5/13/2020,5/31/2020
ASHANTI,KWABRE,MAAME ROSE MATERNITY HOME,Maternity home,Private,National Health Insurance Scheme (NHIS) Only,5/27/2020,Renewal,Approved Credential,ARKWB-0405-2020-058,5/26/2020,6/1/2023
GT.ACCRA,ABLEKUMA MHIS,ADWOA BOATEMAA MEMORIAL CLINIC,Clinic,Private,Both,5/27/2020,Renewal,Approved Credential,GAABK-0415-2020-020,5/26/2020,5/31/2022
GT.ACCRA,ABLEKUMA MHIS,CENTRAL DANSOMAN CLINIC,Clinic,Private,Private Health Insurance Scheme (PHIS) Only,5/27/2020,Renewal,In Assessment,GAABK-0406-2020-009,5/7/2020,8/31/2019
UP_EAST,BUILSA DMHIS,NAADEMA CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/27/2020,New Application,Approved Credential,UEBUI-0210-2020-025,5/13/2020,8/31/2026
NORTHERN,TAMALE METRO,"SEVENTH DAY ADVENTIST HOSPITAL, TAMALE.",Primary Care Hospital,Mission,Both,5/27/2020,Renewal,In Assessment,NRTAM-0203-2020-004,5/26/2020,5/31/2020
WESTERN,WASSA AMENFI EAST,EL-SHIVA CLINIC LTD,Clinic,Private,National Health Insurance Scheme (NHIS) Only,5/27/2020,Renewal,Approved Credential,WRAHE-0415-2020-052,5/20/2020,11/30/2022
WESTERN,SHAMA MHIS,SHAMA HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,5/27/2020,Renewal,Approved Credential,WRSHM-0404-2020-055,5/26/2020,5/31/2022
BONO_EAST,TECHIMAN MUNICIPAL,"AHMADIYYA MUSLIM HOSPITAL, TECHIMAN",Primary Care Hospital,Mission,National Health Insurance Scheme (NHIS) Only,5/28/2020,Renewal,Approved Credential,BATEC-0403-2020-010,5/27/2020,5/31/2022
BONO,BEREKUM,ENAPAK PHARMACEUTICALS LIMITED,Pharmacy,Private,National Health Insurance Scheme (NHIS) Only,5/28/2020,Renewal,Approved Credential,BABKM-0411-2020-011,5/27/2020,11/30/2022
BONO,BEREKUM,AGGIE'S MATERNITY HOME,Maternity home,Private,National Health Insurance Scheme (NHIS) Only,5/28/2020,New Application,Approved Credential,BABKM-0205-2020-013,5/28/2020,11/30/2025
WESTERN_NORTH,JUABOSO,POSSIBLE HEALTH SERVICES-BONSU NKWANTA,Clinic,Private,National Health Insurance Scheme (NHIS) Only,5/28/2020,Renewal,Approved Credential,WNJBS-0406-2020-021,5/27/2020,5/31/2023
BONO_EAST,KINTAMPO NORTH,YIZURA HOSPITAL LTD,Clinic,Private,National Health Insurance Scheme (NHIS) Only,5/28/2020,Renewal,Approved Credential,BAKTN-0406-2020-012,5/27/2020,11/30/2022
ASHANTI,ASOKWA SUB-METRO,ALPHA MEDICAL DIAGNOSTIC SERVICES,Diagnostic,Private,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,Approved Credential,ARASO-0409-2020-073,5/29/2020,3/31/2023
VOLTA,HOHOE,LOGBA ALAKPETI CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,Approved Credential,VRHOH-0410-2020-016,5/29/2020,12/1/2022
ASHANTI,KWABRE,GLADYS MATERNITY HOME,Maternity home,Private,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,Approved Credential,ARKWB-0405-2020-065,5/26/2020,11/30/2022
VOLTA,HOHOE,TAFI ATOME CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,Approved Credential,VRHOH-0410-2020-018,5/29/2020,12/1/2022
VOLTA,HOHOE,LIATI WOTE CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,Approved Credential,VRHOH-0410-2020-010,5/29/2020,12/1/2022
EASTERN,OKWAHUMAN HIS SOUTH,NTESO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/29/2020,New Application,Approved Credential,EROKS-0210-2020-013,5/29/2020,5/31/2026
VOLTA,HOHOE,"KPEVE HEALTH CENTRE,.",Health Center,Public,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,Approved Credential,VRHOH-0404-2020-017,5/29/2020,6/1/2023
VOLTA,HOHOE,LEKLEBI KAME CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,Approved Credential,VRHOH-0410-2020-012,5/29/2020,12/1/2022
VOLTA,HOHOE,VE-GOLOKWATI HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,Approved Credential,VRHOH-0404-2020-019,5/29/2020,6/1/2023
VOLTA,HOHOE,HAVE HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,Approved Credential,VRHOH-0404-2020-021,5/29/2020,6/1/2023
BONO_EAST,ATEBUBU,ATEBUBU DISTRICT HOSPITAL,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,After Assessment,BEATB-0203-2020-002,5/28/2020,5/31/2020
VOLTA,HOHOE,LIATI SOBA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,Approved Credential,VRHOH-0410-2020-011,5/29/2020,12/1/2022
VOLTA,HOHOE,LOGBA TOTA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,Approved Credential,VRHOH-0410-2020-013,5/29/2020,6/1/2023
VOLTA,HOHOE,LEKLEBI DUGA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,Approved Credential,VRHOH-0410-2020-014,5/29/2020,12/1/2022
VOLTA,HOHOE,GOVIEFE AGODOME CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,Approved Credential,VRHOH-0410-2020-015,5/29/2020,12/1/2022
WESTERN,NZEMA EAST,AXIM GOVERNMENT HOSPITAL,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,5/29/2020,Renewal,Approved Credential,WRNZE-0403-2020-054,5/23/2020,8/31/2022
UP_WEST,NADOWLI MHIS,SOMBO HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,5/30/2020,Renewal,Approved Credential,UWNAD-0404-2020-007,5/21/2020,10/31/2022
EASTERN,ATIWA DHIS,ABOMOSU HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,5/30/2020,Renewal,Approved Credential,ERATW-0404-2020-035,5/30/2020,6/1/2024
NORTH_EAST,EAST MAMPRUSI DMHIS,OUR LADY OF ROCIO & NUTRITION SERVICES,Health Center,Mission,National Health Insurance Scheme (NHIS) Only,5/30/2020,Renewal,Approved Credential,NEWMP-0404-2020-001,5/30/2020,5/31/2022
UP_WEST,NADOWLI MHIS,CHARIKPONG HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/30/2020,Renewal,Approved Credential,UWNAD-0410-2020-017,5/22/2020,10/31/2022
EASTERN,BIRIM SOUTH,AWISA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/31/2020,New Application,Approved Credential,ERBRS-0210-2020-039,5/31/2020,1/1/2022
EASTERN,BIRIM SOUTH,BATABI CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/31/2020,New Application,Approved Credential,ERBRS-0210-2020-041,5/31/2020,6/30/2026
EASTERN,BIRIM SOUTH,ODUMASE CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/31/2020,New Application,Reject Credential,ERBRS-0210-2020-042,5/31/2020,
EASTERN,BIRIM SOUTH,ONOMABO CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/31/2020,Renewal,Approved Credential,ERBRS-0410-2020-014,5/29/2020,5/31/2024
EASTERN,BIRIM SOUTH,OTAIPRO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/31/2020,New Application,Approved Credential,ERBRS-0210-2020-045,5/31/2020,6/30/2026
EASTERN,BIRIM SOUTH,YAW DONKOR CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/31/2020,New Application,Approved Credential,ERBRS-0210-2020-044,5/31/2020,11/30/2026
EASTERN,BIRIM SOUTH,AKROSO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,5/31/2020,New Application,Reject Credential,ERBRS-0210-2020-043,5/31/2020,
